year,conm,직명코드,직명,name_ts,name,regist_num,birthdate
2017,(주)CMG제약,721,사외이사,손태규,손태규,134-81-71976,195608
2018,(주)CMG제약,721,사외이사,한승철,한승철,134-81-71976,196305
2018,(주)CMG제약,721,사외이사,손태규,손태규,134-81-71976,195608
2019,(주)CMG제약,721,사외이사,한승철,한승철,134-81-71976,196305
2019,(주)CMG제약,721,사외이사,손태규,손태규,134-81-71976,195608
2017,(주)DB Inc.,751,사외이사(감사위원),한남규,한남규,211-81-19938,194309
2017,(주)DB Inc.,751,사외이사(감사위원),진영욱,진영욱,211-81-19938,195111
2017,(주)DB Inc.,751,사외이사(감사위원),장항석,장항석,211-81-19938,194903
2018,(주)DB Inc.,751,사외이사(감사위원),장항석,장항석,211-81-19938,194903
2018,(주)DB Inc.,751,사외이사(감사위원),진영욱,진영욱,211-81-19938,195111
2018,(주)DB Inc.,751,사외이사(감사위원),한남규,한남규,211-81-19938,194309
2019,(주)DB Inc.,751,사외이사(감사위원),이동훈,이동훈,211-81-19938,195508
2019,(주)DB Inc.,751,사외이사(감사위원),노형철,노형철,211-81-19938,195701
2019,(주)DB Inc.,751,사외이사(감사위원),진영욱,진영욱,211-81-19938,195111
2017,(주)DB하이텍,751,사외이사(감사위원),김형준,김형준,211-81-10771,195302
2017,(주)DB하이텍,721,사외이사,양수길,양수길,211-81-10771,194312
2017,(주)DB하이텍,721,사외이사,유재성,유재성,211-81-10771,194101
2018,(주)DB하이텍,751,사외이사(감사위원),이찬우,이찬우,211-81-10771,195403
2018,(주)DB하이텍,751,사외이사(감사위원),김준동,김준동,211-81-10771,196112
2018,(주)DB하이텍,751,사외이사(감사위원),김형준,김형준,211-81-10771,195302
2019,(주)DB하이텍,751,사외이사(감사위원),김준동,김준동,211-81-10771,196112
2019,(주)DB하이텍,751,사외이사(감사위원),이찬우,이찬우,211-81-10771,195403
2019,(주)DB하이텍,751,사외이사(감사위원),오규원,오규원,211-81-10771,194512
2019,(주)DB하이텍,751,사외이사(감사위원),최홍건,최홍건,211-81-10771,194308
2017,(주)HJ 매그놀리아 용평 호텔 앤 리조트,721,사외이사,김도형,김도형,226-81-24374,196403
2017,(주)HJ 매그놀리아 용평 호텔 앤 리조트,721,사외이사,조현철,조현철,226-81-24374,195402
2018,(주)HJ 매그놀리아 용평 호텔 앤 리조트,721,사외이사,조현철,조현철,226-81-24374,195402
2018,(주)HJ 매그놀리아 용평 호텔 앤 리조트,721,사외이사,김도형,김도형,226-81-24374,196403
2019,(주)HJ 매그놀리아 용평 호텔 앤 리조트,721,사외이사,김도형,김도형,226-81-24374,196403
2019,(주)HJ 매그놀리아 용평 호텔 앤 리조트,721,사외이사,조현철,조현철,226-81-24374,195402
2017,(주)JB금융지주,751,사외이사(감사위원),최정수,최정수,418-81-44697,195004
2017,(주)JB금융지주,721,사외이사,김상국,김상국,418-81-44697,195210
2017,(주)JB금융지주,721,사외이사,이용신,이용신,418-81-44697,195211
2017,(주)JB금융지주,751,사외이사(감사위원),김대곤,김대곤,418-81-44697,194809
2017,(주)JB금융지주,751,사외이사(감사위원),이광철,이광철,418-81-44697,195703
2018,(주)JB금융지주,721,사외이사,표현명,표현명,418-81-44697,195810
2018,(주)JB금융지주,751,사외이사(감사위원),이상복,이상복,418-81-44697,196407
2018,(주)JB금융지주,721,사외이사,유관우,유관우,418-81-44697,195402
2018,(주)JB금융지주,751,사외이사(감사위원),이광철,이광철,418-81-44697,195703
2018,(주)JB금융지주,721,사외이사,김상국,김상국,418-81-44697,195210
2018,(주)JB금융지주,721,사외이사,이용신,이용신,418-81-44697,195211
2018,(주)JB금융지주,751,사외이사(감사위원),최정수,최정수,418-81-44697,195004
2018,(주)JB금융지주,751,사외이사(감사위원),김대곤,김대곤,418-81-44697,194809
2019,(주)JB금융지주,721,사외이사,정재식,정재식,418-81-44697,196106
2019,(주)JB금융지주,751,사외이사(감사위원),이상복,이상복,418-81-44697,196407
2019,(주)JB금융지주,751,사외이사(감사위원),유관우,유관우,418-81-44697,195402
2019,(주)JB금융지주,751,사외이사(감사위원),김대곤,김대곤,418-81-44697,194809
2019,(주)JB금융지주,721,사외이사,김우진,김우진,418-81-44697,196410
2019,(주)JB금융지주,751,사외이사(감사위원),박종일,박종일,418-81-44697,196611
2017,(주)KB금융지주,751,사외이사(감사위원),선우석호,선우석호,201-86-08254,195109
2017,(주)KB금융지주,751,사외이사(감사위원),박재하,박재하,201-86-08254,195711
2017,(주)KB금융지주,751,사외이사(감사위원),정구환,정구환,201-86-08254,195309
2017,(주)KB금융지주,751,사외이사(감사위원),유석렬,유석렬,201-86-08254,195004
2017,(주)KB금융지주,721,사외이사,Stuart B Solomon,StuartBSolomon,201-86-08254,194907
2017,(주)KB금융지주,721,사외이사,최명희,최명희,201-86-08254,195202
2017,(주)KB금융지주,751,사외이사(감사위원),한종수,한종수,201-86-08254,196010
2018,(주)KB금융지주,751,사외이사(감사위원),김경호,김경호,201-86-08254,195412
2018,(주)KB금융지주,751,사외이사(감사위원),정구환,정구환,201-86-08254,195309
2018,(주)KB금융지주,721,사외이사,Stuart B Solomon,StuartBSolomon,201-86-08254,194907
2018,(주)KB금융지주,721,사외이사,유석렬,유석렬,201-86-08254,195004
2018,(주)KB금융지주,751,사외이사(감사위원),선우석호,선우석호,201-86-08254,195109
2018,(주)KB금융지주,751,사외이사(감사위원),박재하,박재하,201-86-08254,195711
2018,(주)KB금융지주,721,사외이사,최명희,최명희,201-86-08254,195202
2019,(주)KB금융지주,751,사외이사(감사위원),김경호,김경호,201-86-08254,195412
2019,(주)KB금융지주,751,사외이사(감사위원),정구환,정구환,201-86-08254,195309
2019,(주)KB금융지주,751,사외이사(감사위원),최명희,최명희,201-86-08254,195202
2019,(주)KB금융지주,721,사외이사,선우석호,선우석호,201-86-08254,195109
2019,(주)KB금융지주,721,사외이사,Stuart B Solomon,StuartBSolomon,201-86-08254,194907
2019,(주)KB금융지주,751,사외이사(감사위원),오규택,오규택,201-86-08254,195902
2019,(주)KB금융지주,721,사외이사,권선주,권선주,201-86-08254,195611
2017,(주)MH에탄올,721,사외이사,윤기창,윤기창,608-81-03800,197109
2018,(주)MH에탄올,721,사외이사,윤기창,윤기창,608-81-03800,197109
2019,(주)MH에탄올,721,사외이사,진동열,진동열,608-81-03800,197403
2017,(주)S&TC,721,사외이사,이명규,이명규,609-81-81774,195210
2018,(주)S&TC,721,사외이사,이명규,이명규,609-81-81774,195210
2019,(주)S&TC,721,사외이사,한동철,한동철,609-81-81774,194308
2017,(주)S&T홀딩스,721,사외이사,김경수,김경수,126-81-14881,196006
2018,(주)S&T홀딩스,721,사외이사,김경수,김경수,126-81-14881,196006
2019,(주)S&T홀딩스,721,사외이사,이충구,이충구,126-81-14881,194503
2017,(주)SH에너지화학,751,사외이사(감사위원),정병국,정병국,401-81-09407,195704
2017,(주)SH에너지화학,751,사외이사(감사위원),박광호,박광호,401-81-09407,195308
2017,(주)SH에너지화학,751,사외이사(감사위원),임승옥,임승옥,401-81-09407,196003
2018,(주)SH에너지화학,751,사외이사(감사위원),성원모,성원모,401-81-09407,195511
2018,(주)SH에너지화학,751,사외이사(감사위원),정미영,정미영,401-81-09407,195207
2018,(주)SH에너지화학,751,사외이사(감사위원),이남녕,이남녕,401-81-09407,195305
2019,(주)SH에너지화학,751,사외이사(감사위원),이남녕,이남녕,401-81-09407,195305
2019,(주)SH에너지화학,751,사외이사(감사위원),성원모,성원모,401-81-09407,195511
2019,(주)SH에너지화학,751,사외이사(감사위원),정미영,정미영,401-81-09407,195207
2017,(주)SIMPAC,721,사외이사,백윤재,백윤재,122-81-00819,195906
2018,(주)SIMPAC,721,사외이사,백윤재,백윤재,122-81-00819,195906
2018,(주)SIMPAC,721,사외이사,민동준 <주>,민동준<주>,122-81-00819,195607
2019,(주)SIMPAC,721,사외이사,백윤재,백윤재,122-81-00819,195906
2019,(주)SIMPAC,721,사외이사,민동준,민동준,122-81-00819,195607
2017,(주)STX,721,사외이사,김대현,김대현,609-81-01917,195710
2018,(주)STX,721,사외이사,김정민,김정민,609-81-01917,195701
2019,(주)STX,721,사외이사,김정민,김정민,609-81-01917,195701
2017,(주)TCC스틸,721,사외이사,백승관,백승관,107-81-13810,195603
2018,(주)TCC스틸,721,사외이사,백승관,백승관,107-81-13810,195603
2019,(주)TCC스틸,721,사외이사,백승관,백승관,107-81-13810,195603
2017,(주)가비아,721,사외이사,김봉오,김봉오,214-86-39239,195902
2018,(주)가비아,721,사외이사,김봉오,김봉오,214-86-39239,195902
2019,(주)가비아,721,사외이사,김봉오,김봉오,214-86-39239,195902
2017,(주)감마누,721,사외이사,박기민,박기민,124-81-52292,197611
2018,(주)감마누,721,사외이사,박기민,박기민,124-81-52292,197611
2018,(주)감마누,721,사외이사,권대우,권대우,124-81-52292,196005
2018,(주)감마누,721,사외이사,성종진,성종진,124-81-52292,195503
2019,(주)감마누,721,사외이사,성종진,성종진,124-81-52292,195503
2017,(주)강스템바이오텍,721,사외이사,권영근,권영근,119-86-34832,196404
2017,(주)강스템바이오텍,721,사외이사,박용호,박용호,119-86-34832,195511
2018,(주)강스템바이오텍,721,사외이사,박용호,박용호,119-86-34832,195511
2018,(주)강스템바이오텍,721,사외이사,권영근,권영근,119-86-34832,196404
2019,(주)강스템바이오텍,721,사외이사,박용호,박용호,119-86-34832,195511
2019,(주)강스템바이오텍,721,사외이사,권영근,권영근,119-86-34832,196404
2017,(주)강원,721,사외이사,김병식,김병식,124-81-46960,195002
2017,(주)강원,721,사외이사,정의균,정의균,124-81-46960,194711
2018,(주)강원,721,사외이사,정의균,정의균,124-81-46960,194711
2018,(주)강원,721,사외이사,김병식,김병식,124-81-46960,195002
2019,(주)강원,721,사외이사,이해은,이해은,124-81-46960,198311
2019,(주)강원,721,사외이사,이성춘,이성춘,124-81-46960,196908
2019,(주)강원,721,사외이사,서장석,서장석,124-81-46960,197212
2017,(주)강원랜드,751,사외이사(감사위원),김상일,김상일,225-81-10770,195712
2017,(주)강원랜드,721,사외이사,한승호,한승호,225-81-10770,195711
2017,(주)강원랜드,721,사외이사,김진각,김진각,225-81-10770,195301
2017,(주)강원랜드,751,사외이사(감사위원),한인구,한인구,225-81-10770,195610
2017,(주)강원랜드,751,사외이사(감사위원),최돈용,최돈용,225-81-10770,196709
2017,(주)강원랜드,721,사외이사,이윤제,이윤제,225-81-10770,196904
2017,(주)강원랜드,721,사외이사,김주일,김주일,225-81-10770,196310
2018,(주)강원랜드,721,사외이사,이태희,이태희,225-81-10770,196702
2018,(주)강원랜드,721,사외이사,김진각,김진각,225-81-10770,195301
2018,(주)강원랜드,721,사외이사,김주일,김주일,225-81-10770,196310
2018,(주)강원랜드,721,사외이사,이문근,이문근,225-81-10770,195609
2018,(주)강원랜드,751,사외이사(감사위원),최돈용,최돈용,225-81-10770,196709
2018,(주)강원랜드,721,사외이사,최경식,최경식,225-81-10770,196109
2018,(주)강원랜드,751,사외이사(감사위원),한인구,한인구,225-81-10770,195610
2018,(주)강원랜드,721,사외이사,정광수,정광수,225-81-10770,196004
2018,(주)강원랜드,721,사외이사,장경재,장경재,225-81-10770,196111
2019,(주)강원랜드,721,사외이사,김진각,김진각,225-81-10770,195301
2019,(주)강원랜드,751,사외이사(감사위원),김주일,김주일,225-81-10770,196310
2019,(주)강원랜드,721,사외이사,이문근,이문근,225-81-10770,195609
2019,(주)강원랜드,721,사외이사,최경식,최경식,225-81-10770,196109
2019,(주)강원랜드,721,사외이사,이태희,이태희,225-81-10770,196702
2019,(주)강원랜드,721,사외이사,정광수,정광수,225-81-10770,196004
2019,(주)강원랜드,721,사외이사,장경재,장경재,225-81-10770,196111
2019,(주)강원랜드,751,사외이사(감사위원),최돈용,최돈용,225-81-10770,196709
2019,(주)강원랜드,751,사외이사(감사위원),한인구,한인구,225-81-10770,195610
2017,(주)갤럭시아에스엠,721,사외이사,최종욱,최종욱,134-81-02367,196802
2017,(주)갤럭시아에스엠,721,사외이사,이후동,이후동,134-81-02367,196410
2018,(주)갤럭시아에스엠,721,사외이사,이후동,이후동,134-81-02367,196410
2018,(주)갤럭시아에스엠,721,사외이사,최종욱,최종욱,134-81-02367,196802
2019,(주)갤럭시아에스엠,721,사외이사,최종욱,최종욱,134-81-02367,196802
2019,(주)갤럭시아에스엠,721,사외이사,이조나단,이조나단,134-81-02367,198109
2017,(주)게임빌,721,사외이사,조준희,조준희,119-81-34778,196902
2018,(주)게임빌,721,사외이사,조준희,조준희,119-81-34778,196902
2019,(주)게임빌,721,사외이사,조준희,조준희,119-81-34778,196902
2019,(주)게임빌,721,사외이사,방경민,방경민,119-81-34778,197708
2017,(주)경남바이오파마,721,사외이사,김동현,김동현,315-81-00385,197901
2018,(주)경남바이오파마,721,사외이사,김동현,김동현,315-81-00385,197901
2019,(주)경남바이오파마,721,사외이사,김동현,김동현,315-81-00385,197901
2017,(주)경농,721,사외이사,허근도,허근도,214-81-08779,195205
2018,(주)경농,720,사외이사,허근도,허근도,214-81-08779,195205
2019,(주)경농,720,사외이사,허근도,허근도,214-81-08779,195205
2019,(주)경농,721,사외이사,민승규,민승규,214-81-08779,196110
2017,(주)경동나비엔,721,사외이사,윤교원,윤교원,125-81-01234,195202
2017,(주)경동나비엔,721,사외이사,정문건,정문건,125-81-01234,195205
2018,(주)경동나비엔,721,사외이사,정문건,정문건,125-81-01234,195205
2018,(주)경동나비엔,721,사외이사,윤교원,윤교원,125-81-01234,195202
2019,(주)경동나비엔,721,사외이사,손양훈,손양훈,125-81-01234,195809
2019,(주)경동나비엔,721,사외이사,정문건,정문건,125-81-01234,195205
2017,(주)경동도시가스,721,사외이사,김기호,김기호,143-81-32491,195211
2018,(주)경동도시가스,721,사외이사,김기호,김기호,143-81-32491,195211
2019,(주)경동도시가스,721,사외이사,심승택,심승택,143-81-32491,196412
2017,(주)경동인베스트,721,사외이사,황준호,황준호,620-81-00410,196301
2018,(주)경동인베스트,721,사외이사,이기열,이기열,620-81-00410,196203
2019,(주)경동인베스트,721,사외이사,이기열,이기열,620-81-00410,196203
2017,(주)경방,721,사외이사,김지섭,김지섭,107-81-05232,196108
2018,(주)경방,721,사외이사,김지섭,김지섭,107-81-05232,196108
2019,(주)경방,721,사외이사,김지섭,김지섭,107-81-05232,196108
2017,(주)경보제약,721,사외이사,송충의,송충의,312-81-04567,195501
2018,(주)경보제약,721,사외이사,송충의,송충의,312-81-04567,195501
2019,(주)경보제약,721,사외이사,송충의,송충의,312-81-04567,195501
2017,(주)경인양행,721,사외이사,신진식,신진식,137-81-00562,196110
2017,(주)경인양행,721,사외이사,이진균,이진균,137-81-00562,197003
2018,(주)경인양행,721,사외이사,이진균,이진균,137-81-00562,197003
2018,(주)경인양행,721,사외이사,신진식,신진식,137-81-00562,196110
2019,(주)경인양행,721,사외이사,신진식,신진식,137-81-00562,196110
2019,(주)경인양행,721,사외이사,이진균,이진균,137-81-00562,197003
2017,(주)고려시멘트,720,사외이사,고주동,고주동,107-88-18207,196311
2018,(주)고려시멘트,721,사외이사,고주동,고주동,107-88-18207,196311
2019,(주)고려시멘트,721,사외이사,김석준,김석준,107-88-18207,195906
2017,(주)고영테크놀러지,721,사외이사,고경철,고경철,104-81-71655,195912
2017,(주)고영테크놀러지,721,사외이사,김영수,김영수,104-81-71655,195711
2018,(주)고영테크놀러지,721,사외이사,고경철,고경철,104-81-71655,195912
2018,(주)고영테크놀러지,721,사외이사,김영수,김영수,104-81-71655,195711
2019,(주)고영테크놀러지,721,사외이사,김영배,김영배,104-81-71655,195801
2019,(주)고영테크놀러지,721,사외이사,김영수,김영수,104-81-71655,195711
2017,(주)골드퍼시픽,721,사외이사,권영택,권영택,220-81-45629,197808
2017,(주)골드퍼시픽,721,사외이사,권순영,권순영,220-81-45629,197811
2017,(주)골드퍼시픽,721,사외이사,강형석,강형석,220-81-45629,197803
2018,(주)골드퍼시픽,721,사외이사,남덕희,남덕희,220-81-45629,198212
2019,(주)골드퍼시픽,721,사외이사,이경수,이경수,220-81-45629,196810
2017,(주)골프존,751,사외이사(감사위원),김형완,김형완,122-87-00053,197312
2017,(주)골프존,751,사외이사(감사위원),김명진,김명진,122-87-00053,197009
2017,(주)골프존,751,사외이사(감사위원),이병창,이병창,122-87-00053,197203
2018,(주)골프존,751,사외이사(감사위원),김형완,김형완,122-87-00053,197312
2018,(주)골프존,751,사외이사(감사위원),김명진,김명진,122-87-00053,197009
2018,(주)골프존,751,사외이사(감사위원),이병창,이병창,122-87-00053,197203
2019,(주)골프존,751,사외이사(감사위원),이병창,이병창,122-87-00053,197203
2019,(주)골프존,751,사외이사(감사위원),김형완,김형완,122-87-00053,197312
2019,(주)골프존,751,사외이사(감사위원),김명진,김명진,122-87-00053,197009
2017,(주)골프존뉴딘홀딩스,751,사외이사(감사위원),이민재,이민재,305-81-37721,196303
2017,(주)골프존뉴딘홀딩스,751,사외이사(감사위원),조규호,조규호,305-81-37721,195502
2017,(주)골프존뉴딘홀딩스,751,사외이사(감사위원),박정수,박정수,305-81-37721,196308
2018,(주)골프존뉴딘홀딩스,751,사외이사(감사위원),박정수,박정수,305-81-37721,196308
2018,(주)골프존뉴딘홀딩스,751,사외이사(감사위원),이민재,이민재,305-81-37721,196303
2018,(주)골프존뉴딘홀딩스,751,사외이사(감사위원),조규호,조규호,305-81-37721,195502
2019,(주)골프존뉴딘홀딩스,751,사외이사(감사위원),박정수,박정수,305-81-37721,196308
2019,(주)골프존뉴딘홀딩스,751,사외이사(감사위원),이민재,이민재,305-81-37721,196303
2019,(주)골프존뉴딘홀딩스,751,사외이사(감사위원),조규호,조규호,305-81-37721,195502
2017,(주)광림,721,사외이사,김방림,김방림,301-81-08302,194001
2017,(주)광림,721,사외이사,맹주천,맹주천,301-81-08302,197107
2018,(주)광림,721,사외이사,맹주천,맹주천,301-81-08302,197107
2018,(주)광림,721,사외이사,김형기,김형기,301-81-08302,195110
2018,(주)광림,721,사외이사,김방림,김방림,301-81-08302,194001
2019,(주)광림,721,사외이사,김형기,김형기,301-81-08302,195110
2019,(주)광림,721,사외이사,김방림,김방림,301-81-08302,194001
2017,(주)광명전기,721,사외이사,김종학,김종학,134-81-04007,195703
2017,(주)광명전기,721,사외이사,김용인,김용인,134-81-04007,196207
2018,(주)광명전기,721,사외이사,김용인,김용인,134-81-04007,196207
2018,(주)광명전기,721,사외이사,김종학,김종학,134-81-04007,195703
2019,(주)광명전기,721,사외이사,김선구,김선구,134-81-04007,196205
2019,(주)광명전기,721,사외이사,김종학,김종학,134-81-04007,195703
2017,(주)광주신세계,751,사외이사(감사위원),김형균,김형균,410-81-27563,195308
2017,(주)광주신세계,751,사외이사(감사위원),윤판,윤판,410-81-27563,195603
2017,(주)광주신세계,751,사외이사(감사위원),이용연,이용연,410-81-27563,195611
2018,(주)광주신세계,721,사외이사,위길환,위길환,410-81-27563,195604
2018,(주)광주신세계,721,사외이사,한장희,한장희,410-81-27563,195609
2018,(주)광주신세계,751,사외이사(감사위원),김형균,김형균,410-81-27563,195308
2018,(주)광주신세계,751,사외이사(감사위원),윤판,윤판,410-81-27563,195603
2018,(주)광주신세계,751,사외이사(감사위원),이용연,이용연,410-81-27563,195611
2019,(주)광주신세계,751,사외이사(감사위원),김형균,김형균,410-81-27563,195308
2019,(주)광주신세계,751,사외이사(감사위원),위길환,위길환,410-81-27563,195604
2019,(주)광주신세계,751,사외이사(감사위원),한장희,한장희,410-81-27563,195609
2017,(주)광진윈텍,721,사외이사,김현영,김현영,621-81-32365,197007
2017,(주)광진윈텍,721,사외이사,김현영,김현영,621-81-32365,197002
2017,(주)광진윈텍,721,사외이사,서부교,서부교,621-81-32365,196810
2018,(주)광진윈텍,721,사외이사,강영수,강영수,621-81-32365,197701
2018,(주)광진윈텍,721,사외이사,김현영,김현영,621-81-32365,197007
2019,(주)광진윈텍,721,사외이사,김현영,김현영,621-81-32365,197007
2019,(주)광진윈텍,721,사외이사,정강준,정강준,621-81-32365,196803
2019,(주)광진윈텍,721,사외이사,강영수,강영수,621-81-32365,197701
2017,(주)구영테크,721,사외이사,조재룡,조재룡,505-81-04626,196207
2017,(주)구영테크,721,사외이사,이희로,이희로,505-81-04626,194705
2018,(주)구영테크,721,사외이사,이희로,이희로,505-81-04626,194705
2018,(주)구영테크,721,사외이사,조재룡,조재룡,505-81-04626,196207
2019,(주)구영테크,721,사외이사,고호현,고호현,505-81-04626,195412
2019,(주)구영테크,721,사외이사,이희로,이희로,505-81-04626,194705
2019,(주)구영테크,721,사외이사,김철화,김철화,505-81-04626,195210
2017,(주)국동,721,사외이사,한 용 석,한용석,218-81-06865,196105
2017,(주)국동,721,사외이사,진영삼,진영삼,218-81-06865,195404
2018,(주)국동,721,사외이사,진 영 삼,진영삼,218-81-06865,195404
2019,(주)국동,721,사외이사,구자형,구자형,218-81-06865,195406
2019,(주)국동,720,사외이사,김민성,김민성,218-81-06865,197207
2017,(주)국보,721,사외이사,주태식,주태식,104-81-24870,195403
2018,(주)국보,721,사외이사,주태식,주태식,104-81-24870,195403
2019,(주)국보,721,사외이사,배현준,배현준,104-81-24870,198404
2019,(주)국보,721,사외이사,이근우,이근우,104-81-24870,196404
2019,(주)국보,720,사외이사,최철은,최철은,104-81-24870,197201
2019,(주)국보,720,사외이사,신남규,신남규,104-81-24870,197201
2017,(주)국보디자인,721,사외이사,홍경희,홍경희,102-81-22615,195411
2018,(주)국보디자인,721,사외이사,홍경희,홍경희,102-81-22615,195411
2019,(주)국보디자인,751,사외이사(감사위원),조계상,조계상,102-81-22615,195405
2019,(주)국보디자인,751,사외이사(감사위원),홍경희,홍경희,102-81-22615,195411
2019,(주)국보디자인,751,사외이사(감사위원),심재화,심재화,102-81-22615,195509
2017,(주)국순당,721,사외이사,김영석,김영석,124-81-14925,195403
2018,(주)국순당,721,사외이사,김영석,김영석,124-81-14925,195403
2019,(주)국순당,721,사외이사,김영석,김영석,124-81-14925,195403
2017,(주)국영지앤엠,721,사외이사,최병천,최병천,207-81-41843,196412
2017,(주)국영지앤엠,721,사외이사,윤춘호,윤춘호,207-81-41843,195004
2017,(주)국영지앤엠,721,사외이사,이홍기,이홍기,207-81-41843,194702
2018,(주)국영지앤엠,721,사외이사,윤춘호,윤춘호,207-81-41843,195004
2018,(주)국영지앤엠,721,사외이사,최병천,최병천,207-81-41843,196412
2018,(주)국영지앤엠,721,사외이사,최병인,최병인,207-81-41843,196812
2019,(주)국영지앤엠,721,사외이사,전호영,전호영,207-81-41843,195302
2019,(주)국영지앤엠,721,사외이사,최병인,최병인,207-81-41843,196812
2019,(주)국영지앤엠,721,사외이사,이홍기,이홍기,207-81-41843,194702
2018,(주)국전약품,721,사외이사,서만규,서만규,116-87-01173,198305
2019,(주)국전약품,721,사외이사,서만규,서만규,116-87-01173,198305
2018,(주)그리티,721,사외이사,박의훈,박의훈,109-81-59281,197002
2019,(주)그리티,721,사외이사,남경우,남경우,109-81-59281,195908
2017,(주)그린플러스,721,사외이사,송홍기,송홍기,124-81-52399,196602
2017,(주)그린플러스,721,사외이사,이태경,이태경,124-81-52399,197609
2018,(주)그린플러스,721,사외이사,송홍기,송홍기,124-81-52399,196602
2019,(주)그린플러스,721,사외이사,전인달,전인달,124-81-52399,197209
2017,(주)글로벌스탠다드테크놀로지,721,사외이사,김민형,김민형,125-81-39609,196212
2018,(주)글로벌스탠다드테크놀로지,721,사외이사,김응호,김응호,125-81-39609,196301
2019,(주)글로벌스탠다드테크놀로지,721,사외이사,김응호,김응호,125-81-39609,196301
2019,(주)글로벌스탠다드테크놀로지,721,사외이사,홍준기,홍준기,125-81-39609,196302
2017,(주)글로스퍼랩스,721,사외이사,한창래,한창래,211-81-29606,196310
2018,(주)글로스퍼랩스,721,사외이사,한창래,한창래,211-81-29606,196310
2019,(주)글로스퍼랩스,721,사외이사,조산구,조산구,211-81-29606,196505
2019,(주)글로스퍼랩스,721,사외이사,송준섭,송준섭,211-81-29606,196104
2017,(주)금비,721,사외이사,정상운,정상운,126-81-09409,195809
2018,(주)금비,721,사외이사,정상운,정상운,126-81-09409,195809
2019,(주)금비,721,사외이사,정상운,정상운,126-81-09409,195809
2020,(주)금비,721,사외이사,정상운,정상운,126-81-09409,195809
2017,(주)금빛,721,사외이사,오강현,오강현,130-81-61229,194907
2017,(주)금빛,721,사외이사,최홍건,최홍건,130-81-61229,194308
2018,(주)금빛,721,사외이사,박내승,박내승,130-81-61229,195509
2018,(주)금빛,721,사외이사,현천욱,현천욱,130-81-61229,195307
2019,(주)금빛,721,사외이사,유기택,유기택,130-81-61229,195204
2019,(주)금빛,721,사외이사,김용관,김용관,130-81-61229,196504
2019,(주)금빛,721,사외이사,김종필,김종필,130-81-61229,196609
2019,(주)금빛,721,사외이사,권기찬,권기찬,130-81-61229,195103
2017,(주)금양,721,사외이사,안덕근,안덕근,606-81-04711,196702
2017,(주)금양,721,사외이사,윤광운,윤광운,606-81-04711,194909
2017,(주)금양,721,사외이사,우병창,우병창,606-81-04711,196403
2018,(주)금양,721,사외이사,윤광운,윤광운,606-81-04711,194909
2018,(주)금양,721,사외이사,안덕근,안덕근,606-81-04711,196702
2018,(주)금양,721,사외이사,우병창,우병창,606-81-04711,196403
2019,(주)금양,721,사외이사,우병창,우병창,606-81-04711,196403
2019,(주)금양,721,사외이사,안덕근,안덕근,606-81-04711,196702
2019,(주)금양,721,사외이사,정연국,정연국,606-81-04711,196701
2017,(주)금호에이치티,721,사외이사,정광헌,정광헌,409-81-07801,195209
2018,(주)금호에이치티,721,사외이사,정용준,정용준,409-81-07801,198112
2019,(주)금호에이치티,721,사외이사,정용준,정용준,409-81-07801,198112
2017,(주)금화피에스시,751,사외이사(감사위원),안희정,안희정,120-81-06796,195310
